Time (h),Fg,RPM,Fs,Fa,Fb,Fc,Fh,Fw,pressure,Fremoved,S,DO2,P,V,Wt,pH,T,Q,CO2outgas,Fpaa,PAA_offline,Foil,NH3_offline,OUR,O2,P_offline,X_offline,CER,NH3_shots,Viscosity_offline,Fault_ref,Control_ref,PAT_ref,Batch_ref,Batch_ref
0.2,30,100,8,0,0,0.0001,164.056504547159,0,0.6,-0,1.094902433924407,14.62470636659249,0.001,58081.19504404433,61983.17672109725,6.573517034770045,297.7495894389603,152.2733158296246,0.0964081217725981,5,NaN,22,NaN,-0.265608675137726,0.2099114409541938,NaN,NaN,0.03548451960914999,0,NaN,0,0,0,0,1
0.4,30,100,8,0,0,0.0001,50.0822122079401,0,0.6,-0,1.13649778744415,14.59811433388899,0.0009995397259850601,58078.55838086488,61985.0217600265,6.549209682059122,297.9111044301176,195.4298140046587,0.1101500920347275,5,NaN,22,NaN,-0.09739614989562448,0.2067747494396349,NaN,NaN,0.04054971661601314,0,NaN,0,0,0,0,1
0.6000000000000001,30,100,8,0,0,0.0001,0.0001,0,0.6,-0,1.176234595947539,14.56642133961927,0.0009990756143787782,58075.9010018164,61986.84781758943,6.526136554755811,297.8978599797758,191.8910307851715,0.1146818958344085,5,NaN,22,NaN,-0.04578106481289582,0.2058068806018566,NaN,NaN,0.0422205059453944,0,NaN,0,0,0,0,1
0.8,30,100,8,0,0,0.0001,64.78018693670461,0,0.6,-0,1.214436963343096,14.544137954216,0.0009986067671931605,58073.21482342052,61988.659250702,6.504135177876016,298.1151101376259,249.9362496282337,0.1173827253463017,5,NaN,22,NaN,-0.02635287679212157,0.2054399444737602,NaN,NaN,0.04321634381249463,0,NaN,0,0,0,0,1
1,30,100,8,0,0,71.22048707746498,6.478018693670461,0,0.6,-0,1.251048045636163,14.52146372101884,0.0009981341188991634,58070.50842635045,61990.46350629948,6.483062947361036,298.0423945147903,230.5085760846656,0.1197908611922592,5,1402.799266566395,22,1632.861848124654,-0.01486293665969942,0.2052211245170823,0.001,0.5961292711396464,0.04410432000221667,0,4.086476373524921,0,0,0,0,1
1.2,30,100,8,0,7.293533565659323,48.82085117626912,0.6478018693670462,0,0.6,-0,1.286084256459492,14.50205856749411,0.0009976374943548149,58069.28043658569,61993.75881675592,6.473784138393767,297.9778550699829,213.26565958737,0.1222256796964096,5,NaN,22,NaN,-0.006662753734314385,0.2050634216637983,NaN,NaN,0.04500219174074826,0,NaN,0,0,0,0,1
1.4,30,100,8,0,18.26288156391728,28.68990419360256,0.06478018693670462,0,0.6,-0,1.319305801052724,14.46991244236214,0.0009971049029584744,58070.26067323166,61999.27623337788,6.480213321081885,297.941355826732,203.5140603782836,0.1247591120788723,5,NaN,22,NaN,0.006122800492506877,0.2048200221154257,NaN,NaN,0.04593648906376274,0,NaN,0,0,0,0,1
1.6,30,100,8,0,26.64677322325114,8.606971258080767,35.23365062061015,0,0.6,-0,1.35056089671713,14.44295658833884,0.0009965436899571716,58072.90647235917,62006.45919249873,6.499147149734327,298.055371613351,233.9774745320195,0.1274043185183369,5,NaN,22,NaN,0.01784397308860327,0.2045961092190079,NaN,NaN,0.04691207296940464,0,NaN,0,0,0,0,1
1.8,30,100,8,0,27.46638375614233,46.01700546846889,3.523365062061015,0,0.6,-0,1.380161477944349,14.43019431843642,0.0009959804032637675,58075.7057181288,62013.7933140457,6.517157474358955,298.0135840808352,222.8117071127043,0.1301544571617525,5,NaN,22,NaN,0.02274413679542731,0.2044991008545367,NaN,NaN,0.04792642835374496,0,NaN,0,0,0,0,1
2,30,100,8,0,21.12490839947942,32.82162385155761,0.3523365062061015,0,0.6,-0,1.407537819999116,14.40629484957862,0.0009954413480091158,58077.24701315043,62019.87349124302,6.524306215353738,297.9812347073537,214.1673542744221,0.1330199805926583,5,NaN,22,NaN,0.03006157864653573,0.20435674794423,NaN,NaN,0.04898341926983654,0,NaN,0,0,0,0,1
2.2,30,100,8,0,11.95660742632027,22.48389952560718,0.03523365062061015,0,0.6,-0,1.432646183088347,14.38468705905257,0.0009949347557341756,58076.96162118314,62024.12128966368,6.517034155987775,297.9641120712633,209.5917243634667,0.1360095885640902,5,NaN,22,NaN,0.03680754115499365,0.2042247665013609,NaN,NaN,0.0500862646523163,0,NaN,0,0,0,0,1
